type,np,stat,pMSE_LR_V,pMSE_LR_R,pMSE_LR_S,pMSE_T_V,pMSE_T_R,pMSE_T_S,IDR,CAP_0,CAP_NA,Pop_Uniq,JSD,Dpa,Dcb,Authenticity,Record_Linkage,DCR,NNDR,Pairwise Correlation
synthpop_spline,10000x5,mean,0.000255841,0.927266956,-0.17843696,0.033534517,0.837462596,-5.402026344,0.056810722,0.012751943,0.012858364,0.274079729,0.009618322,0.994765761,0.988625914,0.2174,0.03529248,0.000955587,0.692847599,0.065099562
synthpop_spline,10000x5,sd,5.48E-20,0.060125187,0.152547815,5.90E-05,0.003647086,0.629853176,0.002593305,0.001408311,0.001417081,0.027213201,0,0,0,0,7.01E-18,2.19E-19,0,1.40E-17
synthpop_spline,10000x5,min,0.000255841,0.792298514,-0.564668887,0.033447562,0.827372643,-6.86304942,0.051757333,0.008974578,0.00905974,0.210169492,0.009618322,0.994765761,0.988625914,0.2174,0.03529248,0.000955587,0.692847599,0.065099562
synthpop_spline,10000x5,max,0.000255841,1.046843015,0.094920679,0.033611057,0.845424716,-3.999768342,0.065038779,0.014587786,0.014711361,0.326771654,0.009618322,0.994765761,0.988625914,0.2174,0.03529248,0.000955587,0.692847599,0.065099562
synthpop_density,10000x5,mean,0.000210057,0.77654033,-0.535157243,0.035002921,0.872213154,-4.284805686,0.055713102,0.012384182,0.012473064,0.266800173,0.008483924,0.99023115,0.992960763,0.211,0.03505176,0.000753252,0.681156388,0.068243352
synthpop_density,10000x5,sd,0,0.04224686,0.134104736,3.77E-05,0.00347769,0.588515707,0.002027866,0.001081224,0.001087555,0.015102653,1.75E-18,1.12E-16,0,0,7.01E-18,2.19E-19,1.12E-16,0
synthpop_density,10000x5,min,0.000210057,0.698664665,-1.047029136,0.034938818,0.863386406,-6.033661478,0.053495963,0.010524829,0.010620413,0.234042553,0.008483924,0.99023115,0.992960763,0.211,0.03505176,0.000753252,0.681156388,0.068243352
synthpop_density,10000x5,max,0.000210057,0.888176716,-0.273148005,0.035075994,0.879182919,-2.295676703,0.065234275,0.014807708,0.014888103,0.298701299,0.008483924,0.99023115,0.992960763,0.211,0.03505176,0.000753252,0.681156388,0.068243352
ctgan,10000x5,mean,0.000857282,3.118731122,5.028842017,0.063319125,1.521393904,17.5284523,0.049876769,0.00926995,0.009329478,0.202655571,0.071398864,0.911558618,0.911089658,0.3452,0.03535604,0.000360184,0.668308487,0.395913272
ctgan,10000x5,sd,1.10E-19,0.177241293,0.82287162,2.86E-05,0.005877848,1.433676733,0.002517934,0.000623206,0.000621229,0.015751204,1.40E-17,0,0,0,0,5.48E-20,1.12E-16,5.61E-17
ctgan,10000x5,min,0.000857282,2.754944526,3.267832724,0.063272084,1.508737445,14.56399095,0.04485924,0.007890123,0.007948946,0.171232877,0.071398864,0.911558618,0.911089658,0.3452,0.03535604,0.000360184,0.668308487,0.395913272
ctgan,10000x5,max,0.000857282,3.62346929,7.592146251,0.063348949,1.533350641,20.24232913,0.059367491,0.010440273,0.010493332,0.247524752,0.071398864,0.911558618,0.911089658,0.3452,0.03535604,0.000360184,0.668308487,0.395913272
orig,10000x10,mean,0.000588009,1.115552996,0.379218428,0.075608888,1.030496499,1.444171822,0.014894,1.19E-05,0.000355572,0.01476982,0.015357186,0.976565049,0.971492034,0.5714,0.00718132,0.019946636,0.645453069,0.192302659
orig,10000x10,sd,0,0.049260493,0.168798859,5.58E-05,0.003029842,0.221399718,0.002074712,1.52E-06,1.95E-05,0.001939091,1.75E-18,1.12E-16,1.12E-16,0,8.76E-19,0,1.12E-16,5.61E-17
orig,10000x10,min,0.000588009,1.025710281,0.079039714,0.075508083,1.022134037,1.030498968,0.0117,9.46E-06,0.00031328,0.01076798,0.015357186,0.976565049,0.971492034,0.5714,0.00718132,0.019946636,0.645453069,0.192302659
orig,10000x10,max,0.000588009,1.25036162,0.831134353,0.07571592,1.03700596,2.155998545,0.0187,1.69E-05,0.000433807,0.01792991,0.015357186,0.976565049,0.971492034,0.5714,0.00718132,0.019946636,0.645453069,0.192302659
synthpop_default,10000x10,mean,0.000383732,0.730456064,-0.872231388,0.070995734,0.977755515,-1.079079117,0.033024,3.30E-05,0.000533855,0.030838848,0.011196963,0.990855655,0.986467537,0.5558,0.00716084,0.019801153,0.642809298,0.210842204
synthpop_default,10000x10,sd,0,0.029886311,0.121451789,0.000107548,0.003258097,0.187418779,0.003049524,3.13E-06,3.42E-05,0.002892785,0,1.12E-16,0,0,8.76E-19,0,0,2.80E-17
synthpop_default,10000x10,min,0.000383732,0.676119003,-1.28828946,0.070817361,0.969478079,-1.492117137,0.0257,2.31E-05,0.000439395,0.024193548,0.011196963,0.990855655,0.986467537,0.5558,0.00716084,0.019801153,0.642809298,0.210842204
synthpop_default,10000x10,max,0.000383732,0.785091188,-0.661340545,0.071242432,0.984845811,-0.600700897,0.037833333,3.68E-05,0.000604075,0.035340862,0.011196963,0.990855655,0.986467537,0.5558,0.00716084,0.019801153,0.642809298,0.210842204
synthpop_spline,10000x10,mean,0.000333482,0.643791967,-1.230489462,0.066226965,0.912280221,-4.208617853,0.034911,2.99E-05,0.000423728,0.034399183,0.011651662,0.989722242,0.98901689,0.5594,0.00710548,0.019898161,0.645094668,0.225755308
synthpop_spline,10000x10,sd,5.48E-20,0.02397921,0.143235944,0.000157685,0.004029179,0.709485228,0.002505141,2.33E-06,1.03E-05,0.002622476,0,1.12E-16,1.12E-16,0,0,0,0,0
synthpop_spline,10000x10,min,0.000333482,0.576332497,-1.553320567,0.065854455,0.904845991,-5.930206433,0.028633333,2.44E-05,0.000395781,0.026348291,0.011651662,0.989722242,0.98901689,0.5594,0.00710548,0.019898161,0.645094668,0.225755308
synthpop_spline,10000x10,max,0.000333482,0.690947909,-0.957250228,0.066584304,0.922226748,-2.17486143,0.039,3.36E-05,0.000445692,0.038302277,0.011651662,0.989722242,0.98901689,0.5594,0.00710548,0.019898161,0.645094668,0.225755308
synthpop_density,10000x10,mean,0.000380158,0.734549262,-0.879093906,0.071809904,0.986896897,-0.644299931,0.034362,4.67E-05,0.000656908,0.032944842,0.01250943,0.98635434,0.989495833,0.5722,0.00710636,0.020894357,0.643487853,0.235435236
synthpop_density,10000x10,sd,0,0.033023725,0.1419972,0.000122079,0.003413219,0.191769969,0.001888802,4.59E-06,4.21E-05,0.001993911,1.75E-18,1.12E-16,1.12E-16,0,8.76E-19,3.50E-18,0,5.61E-17
synthpop_density,10000x10,min,0.000380158,0.663802631,-1.217701079,0.071594582,0.97942743,-0.998457709,0.030466667,3.75E-05,0.000557717,0.02524312,0.01250943,0.98635434,0.989495833,0.5722,0.00710636,0.020894357,0.643487853,0.235435236
synthpop_density,10000x10,max,0.000380158,0.808945788,-0.579630333,0.07204876,0.995797143,-0.228107894,0.0374,5.46E-05,0.000732006,0.035259754,0.01250943,0.98635434,0.989495833,0.5722,0.00710636,0.020894357,0.643487853,0.235435236
ctgan,10000x10,mean,0.006538457,12.51194874,38.78902293,0.091297539,1.247205063,12.24974226,0.009949333,8.27E-06,0.000324679,0.010684573,0.141972098,0.970165515,0.94118622,0.5834,0.00746432,0.016755984,0.639544105,0.47653733
ctgan,10000x10,sd,8.76E-19,0.608732719,4.553456393,4.72E-05,0.003597649,1.643441067,0.000908644,7.57E-07,2.49E-05,0.001105241,0,1.12E-16,1.12E-16,0,0,3.50E-18,0,5.61E-17
ctgan,10000x10,min,0.006538457,11.4367197,30.49706962,0.0912037,1.238967714,7.914880606,0.007766667,6.29E-06,0.000276025,0.007901135,0.141972098,0.970165515,0.94118622,0.5834,0.00746432,0.016755984,0.639544105,0.47653733
ctgan,10000x10,max,0.006538457,13.84767258,53.11137559,0.091375276,1.255048431,17.06012016,0.011966667,9.57E-06,0.000396584,0.012581169,0.141972098,0.970165515,0.94118622,0.5834,0.00746432,0.016755984,0.639544105,0.47653733
orig,10000x15,mean,0.001008629,1.311263947,1.254635319,0.092442568,1.016418664,0.76840504,4.00E-06,2.25E-09,1.13E-05,0,0.026901941,0.989495361,0.983615215,0.632,0.00039636,0.077406322,0.746927414,0.284790764
orig,10000x15,sd,2.19E-19,0.048615766,0.241622947,0.00023301,0.003687351,0.191969398,2.83E-05,1.59E-08,7.96E-05,0,0,2.24E-16,0,1.12E-16,5.48E-20,0,1.12E-16,5.61E-17
orig,10000x15,min,0.001008629,1.20667742,0.829129688,0.092069776,1.009559591,0.376662796,0,0,0,0,0.026901941,0.989495361,0.983615215,0.632,0.00039636,0.077406322,0.746927414,0.284790764
orig,10000x15,max,0.001008629,1.399799391,1.810970859,0.092924392,1.028315522,1.155058741,0.0002,1.13E-07,0.000562746,0,0.026901941,0.989495361,0.983615215,0.632,0.00039636,0.077406322,0.746927414,0.284790764
syn_default,10000x15,mean,0.000618799,0.793680674,-0.827681686,0.091016442,1.004232675,0.206465715,0.000692,4.25E-07,0.000605174,0.000688,0.019909824,0.991892036,0.987789771,0.6448,0.00041164,0.0838375,0.745863653,0.27694607
syn_default,10000x15,sd,1.10E-19,0.030178927,0.136149829,0.0001818,0.003134669,0.160849484,0.000152315,9.62E-08,4.19E-05,0.000162431,0,0,0,0,5.48E-20,0,1.12E-16,5.61E-17
syn_default,10000x15,min,0.000618799,0.730258528,-1.095692955,0.090607536,0.995995768,-0.26506861,0.0004,2.46E-07,0.000447597,0.0004,0.019909824,0.991892036,0.987789771,0.6448,0.00041164,0.0838375,0.745863653,0.27694607
syn_default,10000x15,max,0.000618799,0.85311941,-0.576080822,0.091339572,1.010274027,0.528391874,0.001,6.24E-07,0.000639357,0.001,0.019909824,0.991892036,0.987789771,0.6448,0.00041164,0.0838375,0.745863653,0.27694607
syn_spline,10000x15,mean,0.000397493,0.511774229,-1.910234592,0.088932684,0.981693072,-0.960823317,0.00042,2.40E-07,0.000353201,0.000416155,0.02244164,0.987574319,0.992526042,0.65,0.00041204,0.089125865,0.746425122,0.291332139
syn_spline,10000x15,sd,5.48E-20,0.02053771,0.218188853,0.000155272,0.004119989,0.344762336,8.33E-05,5.45E-08,7.30E-05,8.89E-05,3.50E-18,0,1.12E-16,0,1.10E-19,1.40E-17,1.12E-16,0
syn_spline,10000x15,min,0.000397493,0.478788653,-2.462246466,0.088651173,0.973715033,-1.625740558,0.0002,1.13E-07,0.000281373,0.00020008,0.02244164,0.987574319,0.992526042,0.65,0.00041204,0.089125865,0.746425122,0.291332139
syn_spline,10000x15,max,0.000397493,0.568045226,-1.54957994,0.089195651,0.99392092,-0.081301487,0.0008,4.83E-07,0.000562746,0.00080032,0.02244164,0.987574319,0.992526042,0.65,0.00041204,0.089125865,0.746425122,0.291332139
syn_density,10000x15,mean,0.000670692,0.866654992,-0.541939384,0.08790794,0.970203602,-1.574715577,0.000492,3.29E-07,0.000595727,0.000428136,0.01612101,0.990530316,0.991996202,0.6572,0.00041624,0.083097934,0.741696815,0.271889389
syn_density,10000x15,sd,2.19E-19,0.037746208,0.167606713,0.000134793,0.003536827,0.450953299,0.00022932,1.48E-07,0.000107106,0.000198117,3.50E-18,0,0,1.12E-16,5.48E-20,1.40E-17,0,0
syn_density,10000x15,min,0.000670692,0.786037086,-0.861820091,0.087617619,0.961927654,-2.349926748,0.0002,1.45E-07,0.000362582,0.0002,0.01612101,0.990530316,0.991996202,0.6572,0.00041624,0.083097934,0.741696815,0.271889389
syn_density,10000x15,max,0.000670692,0.936040016,-0.240688911,0.088207123,0.979770263,-0.530040272,0.001,6.48E-07,0.000725163,0.001000801,0.01612101,0.990530316,0.991996202,0.6572,0.00041624,0.083097934,0.741696815,0.271889389
ctgan,10000x15,mean,0.016523459,21.67801898,84.45050111,0.124002361,1.371226064,16.62920287,0,0,0,0,0.413947911,0.98205802,0.96944827,0.6432,0.00049824,0.073832539,0.745342508,0.423693771
ctgan,10000x15,sd,3.50E-18,0.668958791,10.62138682,9.32E-05,0.005137879,4.17184181,0,0,0,0,0,1.12E-16,1.12E-16,1.12E-16,1.10E-19,0,1.12E-16,5.61E-17
ctgan,10000x15,min,0.016523459,20.09073411,63.76319505,0.123795171,1.357237696,6.179744159,0,0,0,0,0.413947911,0.98205802,0.96944827,0.6432,0.00049824,0.073832539,0.745342508,0.423693771
ctgan,10000x15,max,0.016523459,22.90173211,108.6615638,0.124170652,1.383436082,26.07093197,0,0,0,0,0.413947911,0.98205802,0.96944827,0.6432,0.00049824,0.073832539,0.745342508,0.423693771
orig,10000x20,mean,0.001273399,1.25407047,1.191166078,0.097488851,0.984445322,-0.835002466,0,0,0,0,0.03041929,0.990368612,0.990679659,0.679,7.70E-05,0.17096104,0.79832965,0.389745679
orig,10000x20,sd,0,0.040217932,0.220417303,0.000260109,0.003792204,0.329851941,0,0,0,0,3.50E-18,1.12E-16,1.12E-16,1.12E-16,0,0,1.12E-16,1.12E-16
orig,10000x20,min,0.001273399,1.172307034,0.736423334,0.096909798,0.975917109,-1.543158488,0,0,0,0,0.03041929,0.990368612,0.990679659,0.679,7.70E-05,0.17096104,0.79832965,0.389745679
orig,10000x20,max,0.001273399,1.343994251,1.685880075,0.097984429,0.99205497,-0.307608261,0,0,0,0,0.03041929,0.990368612,0.990679659,0.679,7.70E-05,0.17096104,0.79832965,0.389745679
syn_default,10000x20,mean,0.00104627,1.033248389,0.155376332,0.098436269,0.996762364,-0.184577687,0,0,0,0,0.023948299,0.988915574,0.99358003,0.6782,8.16E-05,0.188505692,0.804640154,0.40175074
syn_default,10000x20,sd,0,0.029050263,0.134955192,0.000151117,0.003155737,0.189615951,0,0,0,0,3.50E-18,1.12E-16,0,1.12E-16,0,0,1.12E-16,5.61E-17
syn_default,10000x20,min,0.00104627,0.958755115,-0.171206634,0.098215033,0.989498328,-0.71444997,0,0,0,0,0.023948299,0.988915574,0.99358003,0.6782,8.16E-05,0.188505692,0.804640154,0.40175074
syn_default,10000x20,max,0.00104627,1.092480559,0.442027247,0.098781545,1.002659528,0.106942435,0,0,0,0,0.023948299,0.988915574,0.99358003,0.6782,8.16E-05,0.188505692,0.804640154,0.40175074
syn_spline,10000x20,mean,0.001117692,1.098439398,0.470472784,0.097987554,0.991399615,-0.454731286,0,0,0,0,0.024639094,0.985587164,0.993391673,0.6736,8.07E-05,0.195185773,0.80485674,0.408448907
syn_spline,10000x20,sd,0,0.032169259,0.165340024,0.000140196,0.00320437,0.27278902,0,0,0,0,3.50E-18,1.12E-16,1.12E-16,0,1.37E-20,2.80E-17,1.12E-16,0
syn_spline,10000x20,min,0.001117692,1.041212179,0.169774584,0.097723199,0.983154167,-1.538847589,0,0,0,0,0.024639094,0.985587164,0.993391673,0.6736,8.07E-05,0.195185773,0.80485674,0.408448907
syn_spline,10000x20,max,0.001117692,1.194018874,0.951402423,0.098278766,0.996804718,-0.048803793,0,0,0,0,0.024639094,0.985587164,0.993391673,0.6736,8.07E-05,0.195185773,0.80485674,0.408448907
syn_density,10000x20,mean,0.000800036,0.782862705,-1.016533682,0.098891055,1.001119864,0.03092183,0,0,0,0,0.022841015,0.979066348,0.991105829,0.6674,7.83E-05,0.179116385,0.801302557,0.434143531
syn_density,10000x20,sd,1.10E-19,0.025265671,0.164030492,0.000141071,0.003577764,0.15845237,0,0,0,0,7.01E-18,1.12E-16,1.12E-16,0,0,2.80E-17,1.12E-16,5.61E-17
syn_density,10000x20,min,0.000800036,0.727912557,-1.396787708,0.09865887,0.993456908,-0.41020702,0,0,0,0,0.022841015,0.979066348,0.991105829,0.6674,7.83E-05,0.179116385,0.801302557,0.434143531
syn_density,10000x20,max,0.000800036,0.826520709,-0.659872656,0.099170515,1.010125643,0.325688721,0,0,0,0,0.022841015,0.979066348,0.991105829,0.6674,7.83E-05,0.179116385,0.801302557,0.434143531
ctgan,10000x20,mean,0.032657463,32.3416088,146.9481851,0.139300711,1.420396014,20.20846575,0,0,0,0,0.566135445,0.964537923,0.984593104,0.644,0.00011244,0.170891936,0.795215656,0.580058816
ctgan,10000x20,sd,0,1.013917511,17.09316009,0.000119138,0.004643698,4.246317356,0,0,0,0,0,1.12E-16,2.24E-16,0,0,0,1.12E-16,1.12E-16
ctgan,10000x20,min,0.032657463,30.50272298,108.1516946,0.139097005,1.411505805,12.04494169,0,0,0,0,0.566135445,0.964537923,0.984593104,0.644,0.00011244,0.170891936,0.795215656,0.580058816
ctgan,10000x20,max,0.032657463,34.32426267,190.691125,0.139584185,1.43012886,30.91967169,0,0,0,0,0.566135445,0.964537923,0.984593104,0.644,0.00011244,0.170891936,0.795215656,0.580058816
orig,50000x5,mean,5.35E-05,0.979462603,-0.049162874,0.027795865,1.039644275,1.912125744,0.016349339,0.012011274,0.012029725,0.268927386,0.001941403,0.996375842,0.993575071,0.1408,0.036021914,0.000159884,0.86507947,0.043609428
orig,50000x5,sd,6.85E-21,0.072946469,0.175885313,1.54E-05,0.003826012,0.361982239,0.000969434,0.001433429,0.001434392,0.021787725,2.19E-19,1.12E-16,0,0,0,0,1.12E-16,7.01E-18
orig,50000x5,min,5.35E-05,0.783832657,-0.552952309,0.0277674,1.029857687,0.911397131,0.015244008,0.008763543,0.008777939,0.215909091,0.001941403,0.996375842,0.993575071,0.1408,0.036021914,0.000159884,0.86507947,0.043609428
orig,50000x5,max,5.35E-05,1.139209797,0.317344742,0.027829901,1.05052587,2.512932899,0.020132769,0.014849588,0.014872194,0.318584071,0.001941403,0.996375842,0.993575071,0.1408,0.036021914,0.000159884,0.86507947,0.043609428
synthpop_default,50000x5,mean,5.40E-05,1.014904647,0.031231956,0.021370151,0.818733985,-8.762701809,0.016319404,0.012394185,0.012406917,0.336805521,0.001468593,0.996782691,0.996055639,0.0998,0.03614833,0.000178024,0.865923023,0.02583338
synthpop_default,50000x5,sd,6.85E-21,0.059387992,0.138814484,2.01E-05,0.002840295,2.014809023,0.000924991,0.001069977,0.00107162,0.026125265,0,1.12E-16,0,0,0,2.74E-20,2.24E-16,0
synthpop_default,50000x5,min,5.40E-05,0.890860354,-0.288472022,0.021339059,0.813800794,-12.05714942,0.015054694,0.009100399,0.009109873,0.264705882,0.001468593,0.996782691,0.996055639,0.0998,0.03614833,0.000178024,0.865923023,0.02583338
synthpop_default,50000x5,max,5.40E-05,1.181771532,0.365118725,0.02139512,0.825356083,-3.727239354,0.020538037,0.01418867,0.014205148,0.379537954,0.001468593,0.996782691,0.996055639,0.0998,0.03614833,0.000178024,0.865923023,0.02583338
synthpop_spline,50000x5,mean,3.68E-05,0.685793909,-0.731581635,0.020774466,0.796240539,-10.48104215,0.01653522,0.012048269,0.012056755,0.296986619,0.002030453,0.995660401,0.995670485,0.1012,0.036303349,0.000177672,0.86375215,0.028558996
synthpop_spline,50000x5,sd,0,0.044174937,0.125578927,9.54E-06,0.002068763,1.921099337,0.001020209,0.001200841,0.001201297,0.019358274,0,1.12E-16,1.12E-16,0,7.01E-18,2.74E-20,1.12E-16,3.50E-18
synthpop_spline,50000x5,min,3.68E-05,0.606854729,-1.018782342,0.02075353,0.79272376,-15.64046923,0.015167346,0.009261068,0.009266628,0.262536873,0.002030453,0.995660401,0.995670485,0.1012,0.036303349,0.000177672,0.86375215,0.028558996
synthpop_spline,50000x5,max,3.68E-05,0.773535538,-0.436985452,0.020795733,0.801371858,-7.077770684,0.019982037,0.014132872,0.014142489,0.341772152,0.002030453,0.995660401,0.995670485,0.1012,0.036303349,0.000177672,0.86375215,0.028558996
synthpop_density,50000x5,mean,4.28E-05,0.79075747,-0.498426697,0.021258888,0.815506946,-9.176296864,0.016397848,0.011828882,0.011838375,0.297095635,0.00138858,0.997158526,0.995062353,0.10144,0.03623328,0.000169423,0.863618817,0.030510629
synthpop_density,50000x5,sd,6.85E-21,0.047480345,0.143968345,1.55E-05,0.002235227,1.535225508,0.001279156,0.001263336,0.001264422,0.025333874,2.19E-19,1.12E-16,0,0,7.01E-18,0,0,3.50E-18
synthpop_density,50000x5,min,4.28E-05,0.69421291,-0.854750344,0.021224294,0.810219551,-12.24415421,0.015112474,0.008757983,0.008766398,0.230519481,0.00138858,0.997158526,0.995062353,0.10144,0.03623328,0.000169423,0.863618817,0.030510629
synthpop_density,50000x5,max,4.28E-05,0.887722125,-0.248583226,0.021299956,0.819691277,-5.515942191,0.020181553,0.0136465,0.013662895,0.36026936,0.00138858,0.997158526,0.995062353,0.10144,0.03623328,0.000169423,0.863618817,0.030510629
ctgan,50000x5,mean,0.000869326,16.37237884,37.03518939,0.044479751,1.624230031,29.98122907,0.014583257,0.008977213,0.008986605,0.223715112,0.037179387,0.986188343,0.986973789,0.1628,0.035120285,0.000121378,0.867970886,0.346519066
ctgan,50000x5,sd,0,0.898867563,4.502811475,1.84E-05,0.004703489,5.831266497,0.001018415,0.000880649,0.000881449,0.022457327,0,0,1.12E-16,0,7.01E-18,0,1.12E-16,0
ctgan,50000x5,min,0.000869326,14.76406337,27.91154121,0.044443469,1.615831675,13.58206561,0.013558904,0.007107829,0.007113804,0.18501171,0.037179387,0.986188343,0.986973789,0.1628,0.035120285,0.000121378,0.867970886,0.346519066
ctgan,50000x5,max,0.000869326,18.767556,46.19284222,0.044524439,1.637431362,41.81831477,0.01756476,0.010592045,0.010603497,0.290801187,0.037179387,0.986188343,0.986973789,0.1628,0.035120285,0.000121378,0.867970886,0.346519066
orig,50000x10,mean,9.32E-05,0.894947997,-0.350117179,0.068266234,1.035318334,0.77465812,0.05292665,1.42E-05,0.00010625,0.049102973,0.002768772,0.996606705,0.997470436,0.57356,0.007323978,0.006796162,0.589317994,0.071691631
orig,50000x10,sd,1.37E-20,0.040964798,0.147846497,5.46E-05,0.008462984,0.149052883,0.003283814,1.64E-06,6.35E-06,0.002936567,4.38E-19,1.12E-16,0,0,0,8.76E-19,1.12E-16,0
orig,50000x10,min,9.32E-05,0.798804813,-0.708467595,0.068156887,1.01961437,0.505177042,0.045691238,1.13E-05,9.59E-05,0.041033435,0.002768772,0.996606705,0.997470436,0.57356,0.007323978,0.006796162,0.589317994,0.071691631
orig,50000x10,max,9.32E-05,0.992634884,-0.026172095,0.068375904,1.052781476,1.211127615,0.058695429,1.73E-05,0.000117608,0.054785051,0.002768772,0.996606705,0.997470436,0.57356,0.007323978,0.006796162,0.589317994,0.071691631
synthpop_default,50000x10,mean,7.34E-05,0.713066482,-0.943376111,0.061254638,0.938190312,-1.597794821,0.083096695,2.34E-05,0.000121363,0.079636738,0.00242119,0.996193958,0.995751724,0.55904,0.007206462,0.007113599,0.588175401,0.109905756
synthpop_default,50000x10,sd,0,0.028210747,0.142562759,3.62E-05,0.00678217,0.667074631,0.00467812,2.10E-06,4.29E-06,0.002782172,0,1.12E-16,2.24E-16,0,8.76E-19,8.76E-19,0,1.40E-17
synthpop_default,50000x10,min,7.34E-05,0.665906528,-1.259818026,0.061167327,0.924593443,-3.726066912,0.069466952,1.81E-05,0.000113759,0.070894538,0.00242119,0.996193958,0.995751724,0.55904,0.007206462,0.007113599,0.588175401,0.109905756
synthpop_default,50000x10,max,7.34E-05,0.795297742,-0.69281559,0.061358514,0.954434834,-0.653220438,0.089863937,2.83E-05,0.0001324,0.082684869,0.00242119,0.996193958,0.995751724,0.55904,0.007206462,0.007113599,0.588175401,0.109905756
synthpop_spline,50000x10,mean,5.61E-05,0.540058072,-1.517823066,0.057587357,0.880164625,-3.136223273,0.083103395,2.35E-05,0.000122077,0.079553927,0.00265063,0.992758716,0.995223591,0.5514,0.007231523,0.0077493,0.583715141,0.122954629
synthpop_spline,50000x10,sd,0,0.021644681,0.177668188,3.62E-05,0.005172168,0.835487581,0.00417629,2.26E-06,5.36E-06,0.003769948,4.38E-19,0,1.12E-16,0,8.76E-19,8.76E-19,1.12E-16,1.40E-17
synthpop_spline,50000x10,min,5.61E-05,0.485141103,-1.850093179,0.057523659,0.868807904,-5.513578658,0.073146825,1.87E-05,0.000110615,0.068585426,0.00265063,0.992758716,0.995223591,0.5514,0.007231523,0.0077493,0.583715141,0.122954629
synthpop_spline,50000x10,max,5.61E-05,0.588980999,-1.188807274,0.057688714,0.89395018,-1.586782054,0.090322159,2.79E-05,0.000130751,0.085497639,0.00265063,0.992758716,0.995223591,0.5514,0.007231523,0.0077493,0.583715141,0.122954629
synthpop_density,50000x10,mean,8.39E-05,0.808974268,-0.622521873,0.0628357,0.959433408,-1.107297108,0.082880285,2.31E-05,0.00011987,0.077540988,0.00233808,0.995277236,0.990788684,0.55464,0.007195584,0.007890517,0.5858742,0.118401367
synthpop_density,50000x10,sd,2.74E-20,0.034349266,0.128619582,3.33E-05,0.004838848,0.425035826,0.00421705,1.80E-06,3.49E-06,0.003694102,4.38E-19,1.12E-16,2.24E-16,0,1.75E-18,0,0,0
synthpop_density,50000x10,min,8.39E-05,0.727264826,-0.970124703,0.062735329,0.944841165,-2.453820463,0.068704333,1.82E-05,0.000113506,0.067397982,0.00233808,0.995277236,0.990788684,0.55464,0.007195584,0.007890517,0.5858742,0.118401367
synthpop_density,50000x10,max,8.39E-05,0.877375945,-0.342720179,0.062889174,0.969959763,-0.606952808,0.088025079,2.62E-05,0.000126567,0.082758621,0.00233808,0.995277236,0.990788684,0.55464,0.007195584,0.007890517,0.5858742,0.118401367
ctgan,50000x10,mean,0.002558467,24.94363515,79.01811304,0.087207265,1.310733851,7.624621321,0.041482094,8.26E-06,7.78E-05,0.040183812,0.061514753,0.969795864,0.951771027,0.58408,0.007022822,0.007299699,0.588644389,0.446942493
ctgan,50000x10,sd,0,1.285595016,10.33022866,3.34E-05,0.007508108,1.815636403,0.002202714,6.88E-07,3.34E-06,0.003025404,7.01E-18,2.24E-16,0,0,1.75E-18,8.76E-19,0,5.61E-17
ctgan,50000x10,min,0.002558467,22.70969958,58.82249148,0.08711681,1.296887179,3.571006695,0.033789143,6.20E-06,7.17E-05,0.031900772,0.061514753,0.969795864,0.951771027,0.58408,0.007022822,0.007299699,0.588644389,0.446942493
ctgan,50000x10,max,0.002558467,27.78744124,108.1749342,0.08726342,1.326112212,12.02898132,0.04473946,9.41E-06,8.43E-05,0.04503591,0.061514753,0.969795864,0.951771027,0.58408,0.007022822,0.007299699,0.588644389,0.446942493
orig,50000x15,mean,0.000158716,1.028277149,0.116996205,0.085615739,1.02597502,0.390631983,0.0002272,3.05E-08,4.91E-05,0.000237669,0.005177465,0.996885515,0.996603844,0.637,0.000401771,0.037479546,0.738738195,0.11560908
orig,50000x15,sd,0,0.035373975,0.148962609,5.70E-05,0.011175119,0.107555814,8.30E-05,1.10E-08,1.12E-05,8.06E-05,0,1.12E-16,0,0,5.48E-20,0,2.24E-16,1.40E-17
orig,50000x15,min,0.000158716,0.94122368,-0.224630722,0.085487087,1.006057592,0.161740698,4.00E-05,5.86E-09,1.83E-05,8.00E-05,0.005177465,0.996885515,0.996603844,0.637,0.000401771,0.037479546,0.738738195,0.11560908
orig,50000x15,max,0.000158716,1.11870801,0.523116297,0.085724821,1.04987522,0.61563727,0.00044,5.92E-08,6.99E-05,0.00040016,0.005177465,0.996885515,0.996603844,0.637,0.000401771,0.037479546,0.738738195,0.11560908
syn_default,50000x15,mean,0.00019929,1.286726115,1.154563422,0.086560093,1.038858368,0.624732683,0.0014048,2.41E-07,0.000117166,0.001307318,0.004436936,0.996397146,0.993767993,0.62608,0.000401861,0.038597899,0.73716275,0.121952334
syn_default,50000x15,sd,2.74E-20,0.041682387,0.235374525,0.000154002,0.009756382,0.11169047,0.00016515,3.22E-08,1.74E-05,0.000160177,0,1.12E-16,1.12E-16,1.12E-16,0,0,1.12E-16,2.80E-17
syn_default,50000x15,min,0.00019929,1.207127315,0.828505876,0.086299947,1.018840489,0.406686737,0.00092,1.83E-07,9.22E-05,0.000960999,0.004436936,0.996397146,0.993767993,0.62608,0.000401861,0.038597899,0.73716275,0.121952334
