"Var1","Var2","Var4","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Var20"
"F","A",15,5,5,"F","C","CB",15,2,2,2,2,4,4
"F","A",26,2,2,"F","B","EY",15,1,1,0,3,2,4
"F","A",30,4,3,"F","A","CB",30,0,0,0,0,9,3
"M","A",23,2,3,"F","B","AZ",18,1,1,1,1,7,4
"M","B",30,28,4,"F","A","PO",18,1,1,2,2,9,5
"F","B",20,4,4,"F","C","EY",22,1,1,1,1,3,3
"F","A",16,9,5,"M","B","PO",15,1,0,3,2,6,5
"F","B",18,8,5,"F","B","IC",20,1,1,0,5,4,3
"F","A",27,5,3,"F","B","PO",24,3,1,0,3,9,4
"M","B",18,18,4,"M","C","EY",23,0,0,0,0,11,3
"F","C",28,6,3,"F","B","EY",21,1,0,2,0,31,5
"F","C",19,10,4,"F","A","AZ",15,2,3,1,3,1,3
"F","D",20,4,4,"F","B","EY",25,2,2,2,2,2,3
"F","C",15,8,3,"F","A","EY",51,0,0,0,0,20,3
"M","A",15,2,4,"M","A","EY",22,1,1,0,1,4,3
"F","C",15,9,4,"M","A","EY",17,3,0,5,1,5,5
"M","B",52,32,4,"F","A","ST",25,2,2,1,3,0,3
"M","A",21,9,5,"F","C","EY",17,2,2,3,1,9,5
"M","B",16,1,4,"F","A","PO",27,0,2,3,3,1,3
"F","B",19,10,5,"M","B","CB",17,2,0,1,4,1,4
"F","D",32,11,4,"F","C","CJ",36,1,1,0,4,23,4
"M","B",35,4,5,"F","A","AZ",42,2,1,2,0,5,5
"M","B",18,12,5,"F","B","IC",17,1,0,1,1,14,3
"F","B",37,25,4,"F","B","CJ",19,1,1,1,1,4,4
"M","A",15,6,3,"F","B","CB",39,2,3,7,1,8,5
"F","C",18,6,5,"F","A","PO",39,2,2,0,0,17,4
"F","B",19,1,4,"F","C","AZ",26,2,0,2,0,3,2
"M","B",19,7,4,"F","A","EY",19,2,1,1,4,5,4
"M","B",17,3,3,"F","D","CB",42,0,2,1,3,25,4
"F","B",16,6,4,"F","B","AZ",16,1,1,0,2,1,4
"M","B",24,22,5,"M","A","IC",27,0,1,0,7,21,4
"M","A",22,8,5,"F","C","EY",18,0,0,3,6,4,3
"F","B",22,6,4,"F","A","ST",15,1,3,2,3,5,5
"F","B",16,3,3,"F","C","PO",36,1,2,0,3,4,3
"F","B",15,19,5,"F","B","CB",19,1,0,1,5,1,3
"F","B",20,12,4,"F","B","PO",33,0,0,0,1,19,5
"F","C",18,3,3,"M","B","CB",23,1,2,1,2,4,4
"F","A",45,6,4,"M","B","CB",16,1,1,1,2,8,5
"F","C",15,5,3,"F","A","PO",23,1,1,3,1,8,5
"F","D",22,4,4,"M","B","EY",21,1,1,3,6,3,4
"F","A",29,19,3,"F","C","EY",28,0,0,1,0,2,3
"F","C",19,15,3,"M","B","CB",26,1,0,1,2,9,4
"F","A",31,6,4,"F","C","AZ",33,2,2,1,2,5,4
"F","B",28,8,3,"M","A","IC",16,0,2,1,3,2,3
"F","A",30,26,5,"M","B","AZ",26,0,1,0,0,4,3
"M","B",27,2,2,"M","B","CJ",23,0,0,1,2,8,4
"M","C",21,10,5,"F","C","EY",20,0,1,0,2,12,3
"F","C",18,10,3,"F","C","IC",27,0,0,0,2,3,4
"F","B",70,22,3,"F","A","EY",38,1,1,1,6,15,3
"F","B",15,29,5,"F","A","AZ",26,1,1,7,3,9,5
"M","B",26,9,5,"F","A","PO",29,2,1,3,0,16,5
"M","B",16,1,3,"M","B","PO",17,1,1,3,3,4,5
"F","B",18,4,5,"M","C","AZ",15,1,0,1,2,7,3
"F","A",15,5,5,"F","B","CB",21,1,2,0,2,9,4
"M","A",28,11,4,"M","A","ST",31,0,1,3,4,19,3
"F","A",27,11,4,"F","B","AZ",61,2,1,1,3,24,4
"F","A",23,15,3,"M","A","CJ",25,0,0,0,0,3,5
"F","A",26,6,3,"F","B","IC",25,1,1,2,7,1,4
"F","B",15,4,3,"F","B","IC",15,0,0,2,2,1,4
"F","B",25,5,4,"M","B","PO",15,1,0,2,1,4,5
"M","C",15,2,4,"M","C","PO",18,1,2,0,0,7,4
"F","D",25,24,4,"M","C","PO",17,1,0,1,2,1,3
"F","B",20,3,4,"M","A","IC",42,0,1,2,0,6,3
"F","B",17,1,3,"F","B","PO",21,0,1,2,3,6,4
"F","A",28,3,3,"F","A","PO",18,2,1,0,2,1,4
"M","A",31,2,3,"F","B","EY",19,1,4,1,3,5,3
"F","D",29,7,3,"M","B","EY",29,2,1,0,4,8,3
"M","A",20,12,3,"F","B","EY",25,2,1,2,6,17,4
"M","B",25,10,3,"F","D","AZ",19,1,0,4,2,2,4
"F","A",24,7,4,"F","C","AZ",18,0,1,1,5,7,3
"M","B",30,9,4,"F","D","PO",31,2,3,4,7,6,5
"M","B",31,15,4,"M","B","CB",25,3,3,0,2,8,3
"F","B",31,12,3,"F","B","AZ",26,2,1,1,6,7,3
"M","C",16,2,3,"F","A","AZ",16,0,1,0,2,11,4
"F","C",25,1,5,"M","A","AZ",23,2,2,1,1,1,3
"F","A",38,12,3,"F","B","PO",15,0,1,1,5,1,4
"M","A",40,24,4,"M","C","CB",15,2,1,3,1,10,5
"M","C",21,5,5,"F","C","AZ",32,1,1,1,0,3,3
"F","B",27,3,3,"F","B","EY",25,2,0,3,2,9,5
"F","C",20,6,3,"M","C","EY",20,2,1,0,5,13,3
"F","C",21,10,4,"M","B","PO",25,2,0,3,2,7,5
"M","B",24,6,4,"F","B","PO",15,0,2,2,5,3,4
"M","A",26,1,4,"M","A","CB",30,1,0,3,1,6,5
"F","A",22,7,5,"M","A","CB",25,0,0,1,6,9,4
"F","A",40,6,4,"F","B","AZ",24,0,1,2,5,4,3
"F","A",29,4,4,"M","B","EY",24,1,0,3,4,5,5
"F","C",27,1,1,"F","B","PO",21,1,0,0,1,6,3
"F","C",22,6,5,"F","A","AZ",31,0,0,0,0,2,3
"M","B",29,15,4,"M","C","CJ",27,2,0,2,2,5,5
"F","B",18,2,4,"F","A","ST",29,0,0,2,1,6,5
"F","B",18,5,5,"M","B","ST",18,2,0,0,1,10,4
"F","B",27,11,5,"F","A","AZ",33,0,1,0,4,7,3
"M","B",39,9,5,"F","C","CB",16,1,1,2,5,5,4
"M","A",44,22,4,"F","A","EY",38,1,1,1,0,2,3
"F","A",44,26,3,"M","B","PO",27,1,2,4,2,11,5
"M","A",16,2,4,"F","C","CJ",25,0,0,2,1,1,5
"M","D",16,4,5,"F","B","EY",21,1,0,0,3,12,3
"M","B",20,6,5,"F","C","CB",28,3,0,0,6,8,3
"M","B",24,5,5,"F","D","PO",34,1,1,2,0,14,5
"M","A",24,5,4,"F","C","PO",31,2,0,3,1,12,5
"F","B",30,6,3,"F","B","CB",16,0,0,1,2,7,3
"F","B",17,3,3,"F","A","CJ",26,3,0,1,2,1,4
"F","B",25,3,4,"M","B","PO",16,3,0,4,3,10,5
"F","A",16,2,4,"M","A","CJ",22,2,2,4,4,10,5
"F","D",30,12,5,"F","A","CB",19,2,0,2,0,4,5
"M","C",28,14,4,"F","B","IC",39,2,1,2,3,13,5
"M","B",15,2,3,"M","B","AZ",28,4,3,0,0,4,5
"F","B",15,5,3,"F","C","PO",21,3,1,0,1,8,4
"F","D",35,12,3,"F","D","AZ",28,0,0,1,0,2,2
"M","A",15,1,4,"F","B","PO",20,2,1,2,1,5,5
"M","A",39,2,5,"F","B","EY",16,1,0,3,4,3,4
"F","A",44,24,3,"M","B","PO",20,1,2,1,3,3,3
"M","C",17,4,5,"F","B","AZ",47,1,0,2,0,6,3
"F","B",33,17,5,"M","B","IC",21,1,0,1,3,5,4
"F","A",26,10,4,"F","B","EY",34,0,1,3,6,18,4
"F","B",18,4,3,"F","C","PO",21,0,2,3,1,4,4
"F","C",36,5,4,"M","A","IC",23,2,1,4,0,9,6
"F","D",15,8,5,"F","C","IC",45,0,0,1,4,20,3
"M","C",36,6,5,"M","B","PO",16,2,3,0,3,1,3
"M","B",22,20,6,"M","B","IC",16,2,2,0,1,2,4
"M","A",25,3,4,"F","B","PO",17,2,1,4,2,6,5
"M","A",22,18,5,"F","A","CB",25,3,0,1,0,10,3
"M","A",52,8,5,"F","A","CJ",52,0,0,2,1,12,4
"F","A",16,9,5,"M","A","PO",16,3,0,3,2,5,5
"F","C",22,17,5,"F","C","PO",18,1,0,0,1,9,3
"M","B",20,14,5,"F","C","CJ",40,0,0,1,3,10,2
"M","D",25,7,5,"F","B","EY",17,0,2,0,2,7,3
"M","B",15,5,5,"F","A","AZ",33,0,0,0,4,1,1
"F","A",44,3,3,"F","C","PO",18,1,0,1,3,2,3
"F","A",16,2,3,"M","A","IC",17,0,0,1,3,2,4
"F","B",16,4,4,"M","A","PO",18,2,0,2,0,4,5
"F","B",15,7,5,"M","B","CB",16,3,2,0,2,3,3
"F","A",26,8,4,"F","B","AZ",21,1,2,1,2,2,4
"F","B",33,1,4,"F","A","AZ",15,3,1,0,0,8,5
"M","B",24,13,3,"M","A","IC",16,3,2,0,0,11,3
"F","C",26,2,3,"M","B","CJ",18,2,0,0,0,9,5
"M","B",18,3,4,"F","C","ST",18,3,2,3,1,24,5
"F","C",19,6,5,"F","A","CB",18,3,4,1,3,3,5
"F","B",35,9,2,"M","D","ST",22,0,2,1,4,3,3
"F","B",19,4,3,"F","A","IC",17,2,3,1,4,4,3
"F","A",31,8,4,"F","A","IC",37,1,0,0,1,7,3
"F","B",49,15,3,"M","B","PO",21,3,2,2,3,18,5
"M","B",15,1,4,"F","C","CB",20,3,0,4,3,9,5
"F","B",23,1,4,"F","A","CJ",29,0,0,1,3,6,3
"F","B",18,3,3,"F","A","PO",34,0,3,1,1,13,3
"F","B",17,4,4,"F","A","AZ",28,1,1,0,4,23,3
"F","B",16,16,4,"M","B","CB",22,5,0,1,1,4,5
"F","A",26,1,4,"F","A","EY",20,1,1,3,2,4,4
"M","A",16,3,3,"F","B","CJ",29,2,1,0,1,11,3
"F","B",17,2,4,"M","C","PO",16,2,1,2,1,7,5
"F","A",15,1,4,"F","C","CB",19,0,1,1,2,2,3
"F","B",18,1,4,"F","C","IC",38,2,1,0,2,3,3
"M","D",18,8,5,"F","B","AZ",16,0,0,5,0,5,5
"F","C",18,14,5,"M","B","CB",15,1,3,0,2,1,4
"M","A",32,7,3,"M","A","IC",25,0,2,1,2,10,3
"M","B",36,10,3,"M","B","AZ",18,2,0,1,4,11,3
"F","B",15,4,4,"F","B","AZ",42,0,0,0,2,21,4
"F","A",50,12,3,"M","A","AZ",37,2,1,0,0,19,5
"F","C",26,5,5,"F","C","CB",22,0,2,1,4,13,4
"F","B",20,3,3,"F","B","IC",16,4,1,2,1,3,3
"F","B",29,4,3,"F","A","CB",16,0,1,0,6,3,4
"M","C",19,8,3,"F","B","AZ",27,1,1,0,1,2,3
"F","A",29,1,4,"M","A","AZ",16,0,0,3,4,1,3
"M","A",27,9,5,"F","A","EY",28,1,0,0,1,2,2
"F","B",58,30,3,"F","C","IC",17,0,0,2,3,1,3
"M","B",15,4,4,"F","B","PO",20,0,2,2,2,21,4
"F","B",15,2,3,"M","B","IC",34,0,1,4,2,14,5
"M","B",16,6,5,"F","B","CB",23,1,1,1,3,10,3
"M","B",22,15,5,"M","B","PO",15,0,4,4,2,6,5
"M","A",18,2,3,"F","A","EY",21,1,0,1,4,3,4
"M","C",15,8,5,"M","A","AZ",26,1,2,1,1,2,3
"F","B",25,10,3,"F","B","IC",26,2,1,0,0,1,3
"M","A",29,8,3,"F","A","ST",20,1,1,1,5,4,4
"F","B",23,5,3,"F","B","EY",34,1,0,1,3,17,3
"M","A",25,7,2,"F","B","PO",15,2,1,4,3,8,5
"F","B",17,3,3,"M","B","PO",26,2,2,1,2,18,5
"F","B",34,22,5,"F","B","CJ",22,1,0,0,1,7,3
"F","B",35,20,5,"F","A","EY",20,1,1,1,0,8,5
"F","C",23,4,3,"F","C","AZ",29,0,0,3,2,15,5
"M","A",19,3,3,"F","A","IC",26,1,1,0,2,4,4
"F","B",15,1,4,"F","B","IC",22,0,3,0,2,6,3
"F","B",17,4,5,"M","B","PO",32,0,2,0,2,21,5
"F","C",25,6,5,"F","A","EY",35,2,2,0,1,5,4
"F","A",26,7,3,"F","B","PO",23,0,1,0,2,3,4
"M","B",15,2,3,"F","B","CB",31,1,2,1,2,5,3
"M","B",27,6,4,"F","A","EY",26,1,0,1,3,9,3
"F","B",15,1,4,"M","B","EY",33,4,2,0,1,10,3
"F","B",78,44,4,"F","C","IC",20,2,1,1,4,2,3
"F","A",19,2,4,"M","C","AZ",45,0,0,3,3,19,4
"F","A",21,18,3,"F","B","IC",23,0,0,0,2,14,4
"M","D",24,13,5,"F","C","CJ",32,3,3,1,0,2,4
"M","C",27,6,5,"F","A","AZ",17,3,1,0,2,2,4
"F","B",20,10,4,"M","C","PO",29,0,0,4,4,8,2
"M","C",21,19,5,"F","C","EY",18,2,0,5,3,7,5
"F","A",30,9,2,"F","B","AZ",22,2,0,0,4,11,4
"M","C",26,13,3,"M","A","CB",22,4,1,4,2,8,5
"M","C",39,16,5,"F","C","CB",16,2,3,0,3,7,4
"M","A",33,0,2,"F","C","CJ",15,3,2,0,1,1,3
"M","B",39,21,3,"M","B","CJ",18,1,2,3,1,6,5
"F","B",15,3,4,"F","A","AZ",27,2,2,1,4,14,4
"M","B",23,4,5,"M","A","EY",28,1,1,1,0,0,3
"F","A",25,7,4,"M","A","PO",18,0,0,1,2,4,3
"M","A",24,7,4,"M","A","PO",25,0,0,1,3,7,3
"M","B",21,2,3,"F","A","ST",18,2,1,5,5,5,5
"M","C",15,4,5,"M","C","AZ",17,2,0,4,1,4,5
"F","B",15,1,4,"F","A","EY",33,0,0,1,3,9,4
"M","A",15,7,3,"F","A","EY",20,1,0,2,1,1,3
"M","B",25,6,3,"M","C","PO",20,0,1,2,3,5,5
"M","A",19,6,4,"F","A","ST",61,0,1,1,1,9,3
"M","A",32,9,5,"F","B","CB",20,0,0,1,3,2,3
"M","C",18,1,4,"F","C","AZ",20,1,1,0,0,8,5
"M","A",19,2,4,"F","B","EY",19,2,1,1,7,1,3
"M","A",21,6,5,"M","A","IC",31,2,0,0,0,6,3
"F","B",20,3,4,"F","B","PO",70,1,2,1,5,46,3
"F","A",31,7,2,"F","B","CJ",20,2,1,2,2,7,5
"F","A",15,6,4,"F","B","CJ",41,1,0,3,2,10,3
"F","D",19,8,5,"F","A","EY",18,1,1,0,1,1,4
"F","A",31,8,4,"F","A","CB",17,2,1,1,2,4,3
"M","A",21,4,3,"M","A","ST",39,0,2,0,0,25,3
"F","C",21,16,5,"M","B","CB",22,1,2,4,1,12,5
"F","A",29,4,3,"F","C","AZ",28,0,1,0,0,0,3
"F","D",46,13,1,"M","B","PO",24,0,0,0,4,2,4
"M","C",29,31,5,"M","B","CJ",34,3,1,3,1,24,5
"F","A",33,5,5,"M","B","CB",15,1,1,3,5,1,3
"F","A",25,1,1,"M","B","ST",21,0,0,1,1,4,5
"F","B",15,1,5,"F","B","EY",15,2,3,3,6,1,4
"F","C",27,1,3,"M","A","CJ",25,1,1,2,1,17,3
"F","B",18,6,4,"M","B","PO",17,2,1,0,1,2,3
"M","D",15,4,5,"M","D","CB",16,2,0,1,4,7,4
"F","B",25,6,4,"M","B","CJ",23,0,1,5,2,6,5
"M","B",17,8,5,"F","B","CB",62,0,0,1,2,33,4
"F","A",20,4,4,"M","B","CB",20,0,0,0,2,8,3
"M","C",61,31,5,"M","C","CB",21,1,1,0,2,11,4
"M","B",16,6,5,"F","C","PO",27,0,1,3,3,5,4
"M","C",39,6,5,"F","A","AZ",20,0,0,1,2,1,4
"F","A",35,0,3,"F","B","EY",23,1,2,0,0,8,3
"F","A",25,1,4,"M","C","CJ",53,3,2,1,1,38,4
"F","C",21,12,4,"F","C","PO",33,0,0,0,1,15,3
"F","C",36,14,4,"F","A","AZ",20,2,0,0,3,14,4
"M","B",31,22,3,"F","B","CB",21,1,0,1,5,3,4
"F","D",22,2,3,"F","A","ST",17,2,2,3,2,6,5
"F","A",17,16,5,"F","A","AZ",17,0,1,0,2,5,5
"F","A",15,26,5,"F","B","CB",17,2,1,2,1,18,5
"F","C",27,18,5,"F","C","PO",29,1,2,4,2,14,5
"M","B",18,1,3,"F","B","CJ",19,1,2,2,2,7,5
"M","A",70,12,1,"F","C","CB",16,2,0,4,1,8,5
"F","C",21,8,4,"F","B","CB",17,0,0,1,3,9,4
"F","B",33,19,3,"F","D","IC",47,1,1,1,3,19,4
"M","C",16,12,5,"F","B","PO",16,3,0,2,6,2,3
"F","A",30,1,3,"F","A","AZ",30,1,0,1,0,3,2
"F","B",15,9,5,"F","A","EY",22,0,1,0,4,5,3
"M","A",16,1,3,"M","A","IC",26,0,2,1,1,1,3
"F","C",16,5,5,"F","B","EY",29,0,1,2,2,31,3
"F","A",37,6,2,"M","B","CB",38,3,1,0,5,2,4
"M","C",17,5,5,"M","A","CB",23,5,1,5,2,4,5
"M","A",18,3,4,"F","A","PO",57,0,0,3,7,37,3
"F","B",20,9,5,"F","A","IC",38,1,0,0,0,5,4
"M","B",24,9,5,"F","A","AZ",28,0,0,1,3,12,3
"F","A",23,5,3,"F","B","EY",26,0,1,0,2,11,3
"M","A",17,4,3,"M","C","AZ",26,3,0,2,2,6,5
"F","A",25,0,2,"M","A","ST",35,1,1,0,2,5,3
"F","C",36,3,2,"M","A","AZ",16,1,0,1,5,1,3
"M","B",27,4,4,"M","B","AZ",38,1,2,2,7,20,4
"F","C",37,5,3,"M","C","IC",20,2,3,3,2,6,6
"M","A",28,2,1,"F","D","PO",18,0,2,0,4,6,3
"M","C",58,15,4,"M","B","CB",19,0,1,2,3,12,5
"M","A",38,7,3,"M","A","PO",26,1,1,0,1,6,2
"M","A",17,1,4,"F","B","AZ",16,0,0,0,3,1,3
"F","D",27,5,5,"M","B","PO",22,1,1,1,1,15,5
"M","A",34,6,3,"F","B","IC",18,1,1,1,7,9,4
"M","B",25,15,5,"M","B","IC",21,1,0,2,0,4,5
"F","B",15,4,3,"M","B","PO",15,1,1,4,4,4,5
"M","D",19,11,5,"F","A","AZ",33,1,1,1,1,3,3
"F","C",17,4,4,"F","A","AZ",22,1,1,2,6,4,3
"F","A",30,9,5,"M","B","AZ",31,0,5,2,5,7,3
"F","C",16,2,3,"F","A","CJ",25,1,0,0,0,4,3
"F","A",28,14,5,"F","A","CB",27,0,2,2,2,3,3
"M","A",43,17,5,"M","B","CB",24,0,0,2,2,10,5
"M","B",16,5,5,"F","D","AZ",22,0,2,1,4,4,3
"M","A",15,1,4,"F","C","CB",18,4,2,5,4,6,5
"M","A",32,7,5,"M","C","CB",18,0,0,3,1,9,5
"F","A",23,5,4,"F","C","AZ",29,3,3,4,2,7,5
"F","A",43,13,3,"M","C","EY",16,2,1,1,7,7,3
"F","A",16,2,4,"M","A","AZ",32,2,1,1,0,5,5
"M","A",31,5,5,"M","C","AZ",23,2,2,1,1,9,5
"M","B",17,3,4,"F","B","EY",22,0,0,1,5,6,3
"F","C",18,3,4,"M","C","ST",21,0,1,3,1,13,5
"F","B",29,10,3,"F","C","PO",39,2,0,2,1,13,5
"F","B",24,8,3,"M","B","EY",43,5,0,4,0,25,5
"F","B",17,6,5,"F","C","CJ",17,2,1,1,7,8,3
"F","B",30,10,3,"M","A","AZ",25,2,1,1,2,9,1
"F","A",26,23,4,"F","B","AZ",17,4,2,1,3,13,5
"M","B",30,16,4,"M","D","EY",22,3,2,0,2,8,3
"F","B",70,31,4,"M","B","CJ",15,0,1,2,3,2,3
"M","C",19,2,3,"M","B","EY",18,1,2,5,0,4,5
"F","C",16,8,3,"F","D","ST",29,1,1,0,2,9,3
"F","C",18,14,5,"F","B","PO",23,1,2,0,3,10,4
"F","B",18,1,4,"M","B","ST",17,0,2,4,2,19,5
"F","C",16,12,5,"M","A","ST",22,2,1,2,2,7,5
"M","B",18,2,3,"F","B","EY",16,1,2,3,3,3,4
"M","A",22,11,3,"M","B","AZ",29,0,0,1,2,5,1
"M","C",21,12,5,"M","B","ST",16,1,0,4,1,5,5
"M","B",21,4,4,"M","C","EY",23,0,2,1,1,12,3
"F","B",18,4,3,"F","B","CJ",24,1,1,2,5,10,4
"M","A",19,3,3,"M","D","ST",22,6,0,6,4,4,5
"F","C",22,5,3,"M","C","AZ",31,2,3,0,2,14,2
"M","C",16,2,3,"M","B","CJ",17,2,4,1,1,4,4
"M","B",30,12,3,"M","B","CJ",15,3,1,6,2,9,5
"F","C",15,1,3,"M","A","CB",15,1,0,1,2,1,4
"F","A",36,6,3,"F","D","EY",27,0,1,0,2,7,3
"M","B",15,7,4,"F","B","IC",21,0,2,1,5,8,4
"M","A",21,16,5,"F","B","PO",18,2,2,2,0,11,5
"M","A",39,28,3,"F","D","PO",32,0,0,0,4,17,3
"M","C",29,13,4,"F","A","CB",15,4,0,2,5,7,4
"M","A",31,16,5,"F","A","AZ",34,1,2,1,0,5,4
"M","A",15,17,5,"F","A","PO",29,4,2,1,1,4,5
"M","B",24,7,5,"F","C","EY",42,1,2,0,2,25,3
"F","A",25,5,4,"M","A","CB",28,3,0,1,3,13,3
"M","B",16,3,4,"M","A","EY",45,0,2,2,1,10,3
"F","A",20,5,5,"F","A","AZ",25,2,1,2,2,1,1
"M","C",19,8,3,"F","A","AZ",37,1,1,3,0,11,4
"M","A",27,3,2,"M","B","AZ",28,1,2,3,3,18,5
"M","A",34,6,4,"F","A","AZ",32,1,3,0,0,16,2
"F","C",16,1,4,"F","B","AZ",44,0,1,0,2,18,4
"F","A",29,2,1,"F","A","ST",32,0,0,0,0,1,3
"F","A",28,10,3,"F","B","CJ",32,0,0,0,1,8,4
"M","C",21,4,4,"F","A","AZ",25,0,0,2,2,5,3
"F","B",19,6,3,"F","B","PO",23,2,0,3,2,8,5
"F","A",42,4,3,"M","A","CB",18,0,2,3,2,9,5
"M","C",25,3,3,"M","B","PO",19,3,1,0,1,9,5
"M","D",21,6,5,"M","A","AZ",25,1,0,2,3,1,2
"M","D",22,16,5,"M","B","ST",21,2,1,1,1,7,5
"F","A",31,4,4,"F","A","CJ",33,3,1,1,0,0,2
"M","B",17,1,3,"F","A","EY",30,0,0,0,1,7,3
"F","A",16,3,3,"M","A","PO",36,5,1,6,3,8,5
"F","C",26,7,3,"F","A","CJ",33,0,1,0,4,18,4
"F","D",64,38,4,"M","A","AZ",19,1,4,0,2,3,3
"F","D",29,2,2,"F","A","EY",15,1,0,2,5,5,4
"M","B",20,7,3,"F","A","ST",38,1,1,1,0,4,3
"F","B",16,3,4,"M","B","PO",17,0,2,3,4,2,4
"M","A",15,4,5,"F","B","CB",21,4,3,3,2,13,5
"F","A",32,5,3,"F","C","CJ",17,1,0,0,1,4,4
"F","A",25,2,3,"F","A","ST",35,1,0,0,3,1,1
"M","B",21,6,5,"F","A","EY",37,0,1,0,6,7,4
"F","D",19,4,4,"M","B","AZ",24,0,0,2,3,15,4
"M","A",25,13,5,"F","B","CJ",18,2,1,3,4,7,5
"F","B",28,19,3,"M","B","EY",31,0,1,0,0,15,4
"M","B",24,10,4,"F","B","AZ",36,1,1,1,2,3,1
"F","A",30,10,3,"F","B","EY",16,0,0,0,2,4,2
"F","B",18,4,5,"F","C","AZ",27,2,0,1,5,10,4
"F","A",25,12,4,"M","A","EY",33,1,0,1,8,21,4
"M","B",23,9,3,"F","D","AZ",18,0,0,4,4,10,5
"F","A",21,7,4,"M","A","AZ",27,1,0,2,1,3,3
"M","B",25,5,3,"M","C","EY",15,3,0,0,1,2,4
"M","B",27,11,4,"F","B","EY",16,0,2,1,1,5,4
"F","B",44,4,3,"M","B","PO",24,4,1,5,4,11,5
"F","A",25,1,4,"F","B","EY",21,1,1,3,5,1,4
"F","B",21,12,4,"M","B","PO",22,1,0,1,3,2,4
"F","B",24,6,4,"F","C","AZ",16,4,1,1,2,12,6
"F","C",21,9,4,"M","D","AZ",15,1,4,3,2,4,5
"M","B",16,5,5,"M","A","AZ",21,1,1,4,3,7,5
"F","A",35,13,3,"F","A","ST",25,2,0,2,3,9,3
"M","A",29,13,2,"F","B","EY",21,0,1,0,1,10,3
"M","C",16,3,4,"F","B","IC",41,1,1,0,1,31,4
"F","A",28,4,4,"F","B","CB",18,1,1,9,5,8,5
"M","C",32,37,5,"M","B","CB",19,0,1,0,1,2,3
"F","C",17,2,3,"M","C","PO",36,0,0,3,3,4,5
"F","B",31,13,2,"F","A","PO",18,2,1,0,1,8,3
"M","A",15,4,5,"M","A","PO",23,3,2,7,6,5,5
"M","B",22,11,5,"M","B","IC",37,2,0,1,4,14,3
"M","A",15,3,4,"F","C","ST",15,2,0,0,2,5,4
"F","D",16,1,4,"M","A","IC",35,1,2,1,3,21,3
"M","B",19,8,5,"M","B","IC",69,0,1,0,2,54,4
"M","A",20,4,5,"F","A","EY",18,2,0,1,2,4,3
"M","B",17,3,3,"M","C","CB",29,2,0,5,8,5,4
"F","D",20,17,5,"F","B","EY",37,0,1,3,3,14,4
"M","B",36,29,5,"F","C","CB",25,1,3,1,4,11,3
"M","D",23,7,4,"M","B","IC",17,2,1,0,1,4,4
"F","B",17,3,3,"F","A","ST",16,1,3,1,3,1,3
"F","A",39,7,2,"M","B","CB",22,0,0,1,1,6,4
"M","B",22,3,4,"F","C","AZ",35,1,0,3,2,9,2
"M","C",17,5,5,"F","C","AZ",17,3,1,0,0,4,6
"M","B",17,6,5,"M","B","PO",17,4,3,1,0,7,5
"F","B",29,4,5,"F","B","EY",29,0,2,1,0,2,1
"M","B",15,8,5,"F","B","PO",36,1,1,4,1,15,5
"F","C",52,7,1,"F","A","AZ",18,2,0,0,0,5,4
"F","B",17,1,3,"F","A","EY",32,1,2,2,3,2,4
"F","A",27,2,2,"F","B","EY",17,2,1,0,2,3,4
"M","A",26,2,2,"M","A","IC",54,5,1,2,0,2,3
"F","C",21,5,3,"M","B","PO",32,3,0,5,3,14,5
"F","B",32,26,4,"F","A","AZ",26,1,1,1,2,1,3
"F","A",22,17,3,"F","B","EY",25,0,0,1,0,6,3
"F","A",31,6,2,"M","A","IC",29,0,1,1,4,6,3
"M","A",18,4,4,"F","A","PO",22,1,1,3,5,9,4
"M","D",19,3,4,"F","C","AZ",24,0,0,2,3,4,5
"F","B",20,8,4,"M","A","IC",28,1,1,0,3,1,1
"F","B",18,3,4,"F","B","EY",25,2,0,2,5,1,3
"M","B",22,16,5,"F","B","IC",18,2,0,3,3,5,5
"F","A",21,7,3,"F","B","PO",23,5,6,0,0,12,5
"F","B",18,1,3,"F","C","AZ",20,0,1,0,1,6,3
"F","B",15,1,4,"M","B","PO",16,4,1,1,3,12,5
"M","B",15,4,3,"F","C","CJ",58,0,1,0,5,28,4
"M","D",19,4,4,"F","A","AZ",19,0,2,2,6,1,3
"F","C",16,7,5,"M","A","PO",41,1,1,0,2,15,4
"F","C",38,3,3,"M","B","EY",16,2,2,1,3,3,4
"M","A",43,5,3,"M","C","PO",19,2,0,1,1,12,5
"M","A",17,5,5,"F","B","AZ",16,2,0,1,2,2,3
"F","B",30,6,3,"F","B","EY",25,1,1,1,3,6,3
"F","B",16,6,3,"F","A","CB",27,1,2,0,1,1,4
"F","D",15,7,5,"F","D","CB",32,2,1,2,1,11,5
"M","C",16,2,4,"M","A","CB",40,2,1,1,2,9,3
"M","B",26,8,3,"M","B","IC",19,0,1,1,7,2,3
"F","B",34,5,3,"F","B","AZ",34,0,0,0,2,15,4
"M","B",19,1,4,"M","B","EY",17,0,1,3,8,5,4
"F","A",28,16,2,"M","A","AZ",17,1,0,1,4,2,3
"F","B",24,8,3,"F","B","EY",15,1,1,0,2,1,4
"F","D",32,19,2,"M","B","CJ",36,1,0,2,5,14,3
"M","D",27,11,5,"F","A","AZ",18,1,2,0,1,2,3
