"Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Var20"
"M","A","CJ",17,0,3,0,3,3,3,"F","B","AZ",19,0,1,2,3,7,4
"F","B","AZ",19,2,1,1,4,1,4,"F","A","CB",42,0,1,1,1,10,4
"F","A","CB",17,0,0,2,2,1,3,"M","B","CB",28,2,0,5,4,17,3
"F","B","CB",23,0,1,1,4,10,4,"F","B","PO",21,3,5,3,3,11,5
"M","A","AZ",17,1,0,0,1,3,3,"F","C","PO",18,1,1,0,2,2,4
"F","A","CB",16,1,1,0,2,2,4,"F","A","AZ",30,1,0,2,3,3,3
"M","C","CJ",16,1,0,2,1,13,5,"F","A","IC",46,1,1,0,0,7,2
"M","B","PO",22,2,2,7,2,4,5,"M","B","AZ",17,3,1,1,1,4,5
"F","A","AZ",19,1,0,1,1,12,4,"F","B","IC",20,3,2,4,0,12,5
"F","B","PO",35,1,1,1,6,15,4,"M","C","CB",21,2,0,1,2,8,5
"M","A","PO",21,2,1,4,0,7,5,"F","A","CB",41,1,1,2,3,12,4
"M","A","AZ",28,0,0,0,2,4,4,"F","B","PO",34,2,0,2,3,20,5
"F","A","AZ",26,1,1,2,1,1,3,"F","C","CJ",40,1,0,0,1,0,2
"M","A","IC",33,2,0,0,3,20,3,"F","A","AZ",26,1,0,0,0,4,2
"F","B","CJ",32,3,1,1,4,11,3,"M","C","AZ",46,2,0,0,1,7,3
"M","B","CB",21,6,1,4,1,11,5,"M","C","PO",23,1,0,1,1,15,5
"M","A","CB",35,4,1,1,2,23,5,"F","B","PO",28,1,0,1,0,2,3
"M","B","ST",17,1,0,0,1,6,4,"F","C","PO",28,1,0,4,1,4,5
"M","A","PO",20,0,1,3,1,5,5,"M","B","EY",24,1,1,2,3,8,3
"M","B","PO",22,1,0,0,1,15,3,"F","D","PO",37,2,0,0,0,11,5
"M","B","PO",18,2,0,0,0,5,5,"F","C","AZ",27,2,2,1,1,11,5
"M","C","PO",15,1,4,1,5,3,3,"F","A","ST",21,1,3,0,2,1,4
"M","A","AZ",19,3,1,1,0,11,5,"M","B","PO",28,3,2,1,4,4,3
"M","A","AZ",31,1,2,0,2,1,3,"F","A","CJ",19,0,0,0,3,2,4
"F","B","CJ",30,0,1,1,0,4,4,"F","C","CB",32,1,0,2,1,5,5
"F","A","EY",16,0,3,2,2,6,3,"M","B","CB",21,2,0,2,2,14,4
"F","B","PO",26,1,0,0,1,9,4,"M","B","EY",18,2,0,3,1,4,5
"M","A","ST",24,0,2,0,0,1,3,"F","D","CJ",23,2,0,7,4,10,5
"F","C","EY",18,2,2,0,2,3,3,"M","B","AZ",16,2,1,3,6,8,5
"M","B","PO",27,1,2,7,4,5,5,"F","C","CB",19,1,1,1,5,1,3
"F","A","ST",25,0,1,1,2,17,1,"F","A","AZ",26,0,0,2,4,10,3
"M","C","ST",36,0,0,0,1,1,3,"F","C","CB",22,1,0,1,4,9,4
"F","A","CB",17,0,0,0,3,3,4,"M","A","IC",22,3,3,1,3,5,3
"F","A","AZ",61,1,1,1,1,5,2,"F","C","CB",23,1,2,5,2,7,5
"M","B","EY",15,1,1,1,3,20,5,"F","C","EY",32,2,1,2,3,2,3
"F","A","PO",27,0,2,1,0,2,3,"M","B","CB",20,0,4,0,3,2,3
"M","B","AZ",41,2,4,3,0,29,5,"F","B","PO",29,3,2,1,2,15,5
"F","B","AZ",26,2,1,0,1,3,3,"F","A","CB",15,0,1,1,2,2,4
"M","B","PO",17,1,1,2,1,12,5,"M","C","PO",26,0,1,5,5,23,5
"M","A","CJ",26,0,0,3,1,0,2,"F","B","EY",18,2,1,0,1,9,4
"F","B","EY",53,2,0,0,1,14,4,"M","A","PO",28,1,3,1,0,4,5
"M","D","PO",18,5,1,4,4,4,5,"M","A","AZ",19,0,0,0,1,1,3
"M","A","PO",30,1,0,2,4,10,3,"F","B","PO",22,1,2,2,2,16,5
"F","C","CJ",24,1,1,3,0,4,5,"F","A","AZ",33,0,0,1,0,3,3
"M","B","EY",25,1,4,2,4,3,3,"M","B","EY",18,0,1,1,5,3,3
"F","A","AZ",26,1,1,1,0,1,2,"F","A","CB",25,1,1,2,0,0,3
"F","B","PO",20,4,2,2,0,10,5,"F","C","IC",29,1,2,0,2,12,3
"F","A","ST",35,1,3,1,2,6,3,"F","B","CB",27,0,1,1,1,16,5
"M","A","CB",16,2,0,1,3,3,3,"F","B","PO",16,0,1,1,4,4,4
"M","A","AZ",15,0,1,1,0,12,5,"F","A","AZ",34,1,2,2,2,1,3
"M","D","AZ",22,0,2,0,1,4,4,"F","A","PO",30,1,0,2,1,6,4
"M","C","CB",28,2,3,2,3,6,5,"M","C","AZ",39,1,0,1,2,26,5
"F","B","CJ",18,1,0,1,4,13,3,"F","C","PO",18,4,1,2,1,7,5
"F","B","ST",17,1,1,0,0,3,4,"F","C","PO",36,1,1,0,3,3,3
"F","C","AZ",20,0,0,1,4,9,3,"F","D","ST",26,0,0,1,3,1,3
"F","A","EY",29,1,1,1,1,0,3,"M","A","IC",17,1,1,4,6,14,5
"F","B","AZ",26,2,1,0,5,15,3,"M","B","IC",29,2,2,2,7,9,4
"F","A","PO",56,2,1,5,1,27,4,"M","C","PO",18,1,1,4,1,4,5
"F","B","PO",15,4,0,1,0,4,5,"M","B","PO",23,1,1,1,1,12,5
"M","B","ST",19,2,1,0,1,7,3,"M","B","PO",17,0,0,2,7,7,3
"M","C","ST",17,1,1,4,2,10,5,"F","A","AZ",23,2,2,3,5,12,5
"M","A","CB",19,2,2,0,0,3,3,"M","C","CB",19,1,1,6,1,7,5
"M","D","ST",16,0,0,0,5,5,3,"M","A","AZ",19,2,1,3,2,9,5
"F","B","CJ",26,0,0,2,5,10,3,"F","B","EY",25,0,0,1,4,11,3
"F","A","CB",19,1,0,2,1,5,5,"F","B","CB",57,4,1,4,1,4,5
"M","B","CJ",20,1,0,2,4,9,4,"F","A","AZ",36,1,3,1,0,4,4
"F","A","ST",29,2,0,1,0,11,4,"M","B","AZ",15,1,0,2,2,4,5
"F","B","CB",29,2,0,0,1,17,5,"F","B","PO",18,2,2,0,0,1,4
"M","C","CB",36,3,1,0,2,7,4,"M","B","CB",41,0,0,2,3,4,5
"F","B","PO",15,1,0,1,3,8,4,"M","C","CB",23,2,1,3,1,4,5
"F","B","CB",25,1,0,0,2,12,4,"F","C","EY",24,0,0,2,4,8,4
"M","C","AZ",21,1,2,3,2,7,5,"M","C","PO",29,1,1,0,2,12,3
"F","B","ST",19,1,1,0,0,16,3,"M","B","CJ",33,2,0,0,3,21,3
"F","A","IC",44,2,2,0,0,10,3,"F","D","CB",19,5,2,2,2,6,4
"F","B","CJ",22,0,3,0,0,3,4,"F","A","IC",17,2,2,1,2,2,3
"F","A","AZ",26,2,1,3,2,9,5,"M","A","CB",15,1,0,0,2,1,3
"F","B","AZ",18,1,1,1,1,9,5,"M","B","CB",18,2,3,1,2,6,4
"F","A","EY",40,2,0,1,3,21,4,"F","C","AZ",29,0,1,2,3,15,3
"F","B","PO",33,1,1,0,2,11,3,"M","A","AZ",15,2,0,0,3,4,3
"M","C","PO",24,1,1,2,0,9,5,"F","A","IC",37,3,2,1,3,16,3
"M","D","ST",21,1,1,1,2,1,4,"F","A","IC",16,1,0,2,2,1,3
"M","D","PO",47,1,3,2,1,32,5,"M","A","EY",16,1,1,0,2,2,3
"M","C","PO",28,1,1,2,1,4,5,"F","B","PO",34,3,0,1,5,16,4
"F","B","CB",15,0,0,2,6,3,3,"F","B","PO",15,1,1,2,1,3,4
"M","B","AZ",24,1,0,1,2,6,3,"M","B","PO",36,0,2,1,3,18,4
"F","D","IC",34,0,1,2,2,10,3,"M","C","EY",17,2,2,2,2,7,5
"F","A","IC",31,1,0,0,1,4,2,"F","A","AZ",22,2,2,0,2,9,3
"F","B","EY",18,3,1,3,4,4,5,"F","A","AZ",17,0,1,8,2,7,5
"F","A","IC",34,4,1,0,3,7,2,"F","A","EY",35,0,1,0,2,6,1
"M","B","CJ",18,1,2,3,4,7,4,"M","B","EY",17,0,1,0,0,8,3
"M","A","AZ",26,1,1,0,0,6,2,"F","A","EY",22,0,0,4,4,7,3
"M","B","AZ",40,1,1,5,3,8,5,"M","A","IC",15,0,3,2,6,4,4
"M","D","CJ",16,0,1,1,2,18,5,"M","B","CB",16,4,1,3,1,4,5
"M","B","PO",19,3,4,2,3,6,5,"M","B","PO",22,1,0,0,0,13,3
"M","C","AZ",39,0,3,3,3,6,5,"F","C","AZ",25,1,1,0,0,4,3
"F","C","EY",21,2,1,2,1,6,5,"F","C","ST",22,1,1,1,5,4,4
"F","B","EY",15,0,2,0,1,1,4,"F","A","AZ",28,0,0,1,0,6,3
"M","C","PO",39,2,1,4,1,9,5,"M","A","EY",27,0,1,0,1,10,3
"M","A","EY",34,1,0,2,6,14,3,"F","B","IC",27,1,3,0,4,1,3
"F","A","CB",29,0,1,1,1,1,3,"F","B","IC",17,2,1,2,4,7,3
"F","A","AZ",38,1,1,0,1,10,3,"M","A","PO",25,1,0,2,3,1,3
"F","B","AZ",25,2,1,3,0,6,5,"F","B","AZ",19,2,0,2,5,3,4
"F","B","AZ",19,3,2,0,2,2,4,"F","B","PO",24,0,2,6,2,16,5
"F","B","AZ",20,0,0,1,2,25,3,"M","B","PO",27,3,0,4,2,12,5
"M","D","PO",26,3,1,0,4,6,4,"F","A","EY",29,0,0,2,2,0,4
"M","C","ST",18,1,0,1,5,1,4,"F","A","PO",21,0,0,1,1,7,4
"M","C","IC",17,2,2,0,2,5,5,"M","A","AZ",16,0,0,1,3,2,4
"F","C","AZ",39,3,0,1,2,30,5,"F","A","PO",22,0,0,0,0,10,3
"F","C","PO",15,1,1,3,2,8,5,"F","C","CB",27,2,3,3,5,7,4
"M","B","EY",18,1,0,3,7,1,4,"M","C","PO",24,2,2,4,3,4,5
"F","A","AZ",25,1,1,0,0,0,2,"M","A","EY",30,0,1,0,1,9,3
"M","B","AZ",16,1,2,4,4,10,5,"M","A","PO",28,2,0,2,2,11,5
"F","B","AZ",34,1,0,0,1,9,2,"M","A","EY",23,2,3,1,2,12,3
"F","B","EY",22,2,3,1,3,2,4,"F","A","AZ",25,1,0,0,1,5,3
"F","C","CJ",17,3,3,0,3,5,5,"F","D","CB",16,0,0,1,2,4,3
"M","B","CB",52,0,1,0,2,23,4,"F","C","PO",15,1,3,1,2,38,5
"F","C","IC",38,0,1,2,2,1,3,"F","A","PO",18,0,1,0,6,5,3
"M","B","CJ",35,1,0,1,3,16,4,"F","B","AZ",15,1,0,1,5,3,3
"F","D","PO",37,0,1,1,4,12,4,"F","B","IC",41,1,1,2,6,21,4
"M","C","EY",15,3,0,4,4,6,5,"F","C","AZ",37,1,1,1,0,1,3
"M","D","IC",37,0,1,0,0,6,2,"F","B","PO",17,0,1,2,3,11,4
"M","A","AZ",33,3,0,2,2,40,5,"F","B","AZ",23,0,0,2,5,3,3
"F","A","IC",17,1,1,2,5,1,3,"M","B","AZ",30,0,2,0,3,19,3
"M","B","AZ",19,3,1,3,1,4,5,"F","A","EY",35,2,3,2,1,2,4
"F","B","EY",58,1,0,0,2,27,3,"F","B","IC",20,2,0,1,2,6,5
"M","C","PO",19,1,1,0,5,5,4,"F","C","IC",47,1,1,2,3,31,3
"F","B","AZ",24,1,1,0,0,11,4,"F","A","IC",42,1,0,0,1,8,2
"M","C","PO",19,2,0,6,5,21,6,"F","B","AZ",18,0,0,5,2,24,5
"M","C","PO",21,3,1,0,2,11,5,"F","A","AZ",28,3,5,5,1,17,5
"M","B","ST",17,0,2,1,3,2,4,"F","B","PO",26,3,2,5,1,31,5
"F","A","CJ",24,5,1,2,1,8,5,"F","A","IC",36,1,2,1,0,4,3
"F","A","CB",21,2,1,3,1,10,5,"M","C","CB",28,3,1,4,3,16,5
"M","A","PO",24,1,0,4,1,5,5,"M","A","PO",16,4,1,0,1,4,5
"F","A","PO",35,0,2,1,3,7,4,"F","A","CB",36,1,0,0,3,2,4
"F","B","PO",36,3,0,2,0,27,5,"M","B","PO",32,2,3,3,2,13,5
"M","D","CJ",21,2,2,3,1,14,5,"F","B","CJ",15,1,1,0,0,4,4
"F","B","PO",27,5,0,5,3,14,5,"M","A","ST",16,1,0,1,2,13,5
"F","C","CB",27,1,1,1,1,6,2,"M","A","CB",20,2,1,0,1,11,3
"F","B","CB",21,0,4,1,2,5,3,"F","C","AZ",22,1,0,6,4,6,6
"M","B","AZ",37,0,1,1,1,6,3,"F","A","CJ",22,1,3,2,0,4,4
"F","B","CB",16,3,2,2,0,5,5,"M","C","CJ",16,3,1,2,1,4,5
"F","A","EY",15,0,0,0,4,1,3,"F","B","IC",25,2,2,2,2,10,4
"F","C","PO",26,2,1,1,4,7,4,"F","A","IC",44,0,1,0,1,8,3
"F","C","AZ",20,3,3,2,3,1,3,"M","A","AZ",24,2,0,0,0,5,3
"M","B","PO",17,2,1,1,3,4,4,"M","A","PO",16,4,3,4,4,4,5
"M","C","PO",19,1,1,4,4,11,5,"M","B","CB",25,2,2,5,1,15,5
"F","B","CB",24,0,0,7,3,16,5,"F","D","EY",21,2,1,0,1,3,4
"M","C","CJ",35,1,1,2,2,9,5,"M","D","CB",15,2,1,4,5,12,5
"M","B","EY",23,0,0,1,2,5,4,"F","A","PO",16,1,1,0,1,3,3
"F","A","IC",27,0,1,1,3,2,4,"F","C","PO",30,3,1,2,3,12,3
"F","A","CB",24,2,1,3,2,9,5,"M","C","EY",24,1,0,5,5,5,5
"F","B","CJ",33,0,0,1,3,16,4,"F","C","PO",23,0,0,1,2,3,4
"F","C","AZ",30,3,0,6,2,20,5,"M","A","EY",31,1,1,2,0,1,3
"F","A","PO",29,1,2,0,2,11,4,"F","B","AZ",16,0,0,3,3,2,5
"F","A","IC",25,1,0,2,0,1,3,"M","D","PO",59,4,2,3,3,13,5
"F","C","PO",35,1,2,3,2,10,5,"M","B","ST",19,1,0,5,2,6,5
"F","A","PO",18,1,1,6,3,8,5,"M","A","IC",16,2,1,2,1,4,5
"F","A","CJ",27,2,1,1,1,8,5,"M","B","AZ",19,2,3,1,6,4,4
"F","B","IC",27,0,0,0,2,1,3,"M","A","CB",27,1,1,0,1,12,2
"F","A","AZ",62,1,0,2,1,5,4,"M","C","AZ",15,5,0,9,5,15,5
"F","A","PO",29,3,0,3,1,10,5,"F","C","IC",24,1,1,1,4,11,3
"F","B","PO",31,1,1,1,3,13,3,"M","A","EY",48,2,0,1,0,37,5
"F","B","IC",28,0,1,1,4,3,4,"M","A","IC",15,1,0,0,3,4,4
"M","B","IC",19,1,1,0,2,9,4,"F","A","AZ",27,2,0,2,3,3,3
"M","C","CJ",15,1,0,0,3,8,3,"F","B","CB",19,0,2,0,4,11,5
"F","A","IC",24,1,0,1,4,2,4,"M","A","PO",25,1,2,4,3,16,5
"M","A","PO",23,4,0,3,1,11,5,"F","B","IC",18,0,0,0,4,8,3
"F","B","PO",21,0,0,2,1,5,5,"F","A","AZ",20,1,0,2,4,16,3
"M","A","AZ",28,2,1,3,1,3,4,"M","D","CB",23,0,0,2,2,4,5
"F","C","CB",27,3,2,4,3,6,5,"F","B","EY",15,0,1,0,2,2,3
"F","C","PO",15,0,2,2,0,31,5,"F","C","AZ",21,2,0,1,3,12,4
"M","C","IC",24,2,0,4,4,16,5,"F","D","PO",19,4,1,2,4,9,5
"F","B","CB",19,1,2,0,4,3,3,"M","B","CB",36,0,1,3,2,14,5
"F","A","PO",25,0,1,0,0,6,2,"F","C","AZ",43,1,0,3,2,8,4
"F","A","CB",26,0,1,1,2,1,2,"F","B","EY",17,3,1,0,3,1,4
"F","D","CJ",15,2,2,3,5,6,5,"M","A","PO",53,2,0,3,3,8,5
"F","A","IC",25,3,1,2,0,2,4,"F","B","AZ",34,3,2,1,3,16,4
"F","B","ST",18,0,2,1,2,5,4,"F","C","IC",15,0,2,1,4,4,3
"F","C","PO",25,0,2,2,5,15,4,"M","B","PO",22,6,1,2,2,14,5
"F","C","CB",31,3,1,1,1,4,5,"M","A","AZ",46,3,1,1,1,13,2
"M","B","PO",16,3,1,3,1,6,5,"M","B","PO",16,3,2,2,3,6,5
"F","B","IC",37,1,0,0,0,11,1,"F","B","CB",44,0,2,1,3,32,3
"M","A","PO",15,1,1,0,1,17,5,"M","C","AZ",32,3,2,4,0,12,5
"M","C","EY",54,1,0,0,0,38,4,"M","B","EY",22,3,1,0,1,2,3
"F","B","AZ",23,1,4,0,1,3,4,"M","A","PO",17,2,0,0,2,3,4
"M","A","PO",18,4,0,6,1,6,5,"M","C","CJ",23,2,1,5,2,14,5
"F","A","PO",19,2,2,2,1,5,5,"F","C","ST",39,1,2,2,1,3,3
"M","C","CB",23,1,1,0,3,10,4,"M","B","PO",41,3,0,1,2,6,5
"F","C","CJ",15,1,0,6,3,4,5,"F","B","AZ",28,0,1,2,3,4,4
"F","C","PO",30,1,2,0,0,1,3,"M","B","AZ",25,1,1,1,5,13,4
"F","C","AZ",18,2,3,2,1,10,5,"M","D","AZ",24,1,0,2,8,10,4
"F","A","CB",29,1,1,2,2,9,2,"F","A","IC",26,2,2,0,0,3,3
"F","A","AZ",23,0,1,1,3,5,3,"F","D","CJ",19,2,3,4,2,6,5
"F","B","EY",16,1,1,1,3,1,4,"M","B","ST",22,1,1,0,2,7,4
"F","B","PO",23,2,3,2,0,4,5,"F","A","PO",28,1,2,1,1,10,3
"F","A","AZ",19,1,0,2,6,13,3,"F","A","CJ",29,1,1,0,0,4,4
"F","C","PO",36,2,1,0,1,4,2,"F","C","CB",23,3,1,0,0,12,4
"F","A","CJ",15,4,0,2,0,5,5,"F","C","CB",15,2,2,2,2,4,4
"F","A","AZ",26,1,0,0,3,2,2,"F","B","EY",15,1,1,0,3,2,4
"F","A","IC",30,0,1,0,0,4,3,"F","A","CB",30,0,0,0,0,9,3
"M","A","PO",23,1,1,0,2,2,3,"F","B","AZ",18,1,1,1,1,7,4
"M","B","CB",30,0,0,1,3,28,4,"F","A","PO",18,1,1,2,2,9,5
"F","B","EY",20,1,2,0,4,4,4,"F","C","EY",22,1,1,1,1,3,3
"F","A","EY",16,2,1,2,1,9,5,"M","B","PO",15,1,0,3,2,6,5
"F","B","AZ",18,3,0,2,3,8,5,"F","B","IC",20,1,1,0,5,4,3
"F","A","IC",27,0,0,1,0,5,3,"F","B","PO",24,3,1,0,3,9,4
"M","B","CJ",18,0,3,2,5,18,4,"M","C","EY",23,0,0,0,0,11,3
"F","C","CJ",28,1,2,0,3,6,3,"F","B","EY",21,1,0,2,0,31,5
"F","C","PO",19,6,0,4,2,10,4,"F","A","AZ",15,2,3,1,3,1,3
"F","D","IC",20,1,3,1,5,4,4,"F","B","EY",25,2,2,2,2,2,3
"F","C","PO",15,0,0,0,1,8,3,"F","A","EY",51,0,0,0,0,20,3
"M","A","PO",15,1,0,2,6,2,4,"M","A","EY",22,1,1,0,1,4,3
"F","C","AZ",15,0,1,1,4,9,4,"M","A","EY",17,3,0,5,1,5,5
"M","B","IC",52,1,1,2,6,32,4,"F","A","ST",25,2,2,1,3,0,3
"M","A","CB",21,3,2,4,1,9,5,"F","C","EY",17,2,2,3,1,9,5
"M","B","CJ",16,3,1,2,4,1,4,"F","A","PO",27,0,2,3,3,1,3
"F","B","PO",19,4,3,1,0,10,5,"M","B","CB",17,2,0,1,4,1,4
"F","D","AZ",32,1,2,0,4,11,4,"F","C","CJ",36,1,1,0,4,23,4
"M","B","PO",35,2,0,6,2,4,5,"F","A","AZ",42,2,1,2,0,5,5
"M","B","CB",18,2,0,0,0,12,5,"F","B","IC",17,1,0,1,1,14,3
"F","B","EY",37,1,1,2,4,25,4,"F","B","CJ",19,1,1,1,1,4,4
"M","A","ST",15,0,0,0,2,6,3,"F","B","CB",39,2,3,7,1,8,5
"F","C","PO",18,1,0,4,4,6,5,"F","A","PO",39,2,2,0,0,17,4
"F","B","EY",19,1,2,0,1,1,4,"F","C","AZ",26,2,0,2,0,3,2
"M","B","CB",19,1,0,1,3,7,4,"F","A","EY",19,2,1,1,4,5,4
"M","B","EY",17,2,1,2,4,3,3,"F","D","CB",42,0,2,1,3,25,4
"F","B","PO",16,0,1,5,2,6,4,"F","B","AZ",16,1,1,0,2,1,4
"M","B","PO",24,3,0,3,2,22,5,"M","A","IC",27,0,1,0,7,21,4
"M","A","CB",22,3,3,0,1,8,5,"F","C","EY",18,0,0,3,6,4,3
"F","B","CB",22,0,0,1,5,6,4,"F","A","ST",15,1,3,2,3,5,5
"F","B","PO",16,0,1,0,1,3,3,"F","C","PO",36,1,2,0,3,4,3
"F","B","AZ",15,2,0,2,0,19,5,"F","B","CB",19,1,0,1,5,1,3
"F","B","CJ",20,1,0,1,1,12,4,"F","B","PO",33,0,0,0,1,19,5
"F","C","AZ",18,1,1,0,2,3,3,"M","B","CB",23,1,2,1,2,4,4
"F","A","CJ",45,1,0,1,2,6,4,"M","B","CB",16,1,1,1,2,8,5
"F","C","AZ",15,0,0,1,5,5,3,"F","A","PO",23,1,1,3,1,8,5
"F","D","PO",22,0,1,1,2,4,4,"M","B","EY",21,1,1,3,6,3,4
"F","A","EY",29,3,1,0,5,19,3,"F","C","EY",28,0,0,1,0,2,3
"F","C","AZ",19,1,0,1,3,15,3,"M","B","CB",26,1,0,1,2,9,4
"F","A","CJ",31,2,2,1,4,6,4,"F","C","AZ",33,2,2,1,2,5,4
"F","B","CJ",28,1,0,2,5,8,3,"M","A","IC",16,0,2,1,3,2,3
"F","A","PO",30,1,0,2,3,26,5,"M","B","AZ",26,0,1,0,0,4,3
"M","B","IC",27,1,3,2,1,2,2,"M","B","CJ",23,0,0,1,2,8,4
"M","C","AZ",21,2,2,2,2,10,5,"F","C","EY",20,0,1,0,2,12,3
"F","C","CB",18,1,1,2,2,10,3,"F","C","IC",27,0,0,0,2,3,4
"F","B","CB",70,1,0,1,0,22,3,"F","A","EY",38,1,1,1,6,15,3
"F","B","PO",15,0,0,1,1,29,5,"F","A","AZ",26,1,1,7,3,9,5
"M","B","PO",26,1,1,3,4,9,5,"F","A","PO",29,2,1,3,0,16,5
"M","B","EY",16,2,0,1,1,1,3,"M","B","PO",17,1,1,3,3,4,5
"F","B","CB",18,2,3,2,1,4,5,"M","C","AZ",15,1,0,1,2,7,3
"F","A","CJ",15,0,0,3,1,5,5,"F","B","CB",21,1,2,0,2,9,4
"M","A","CJ",28,0,2,2,4,11,4,"M","A","ST",31,0,1,3,4,19,3
"F","A","ST",27,1,1,0,0,11,4,"F","B","AZ",61,2,1,1,3,24,4
"F","A","AZ",23,2,1,0,3,15,3,"M","A","CJ",25,0,0,0,0,3,5
"F","A","CB",26,1,0,1,6,6,3,"F","B","IC",25,1,1,2,7,1,4
"F","B","EY",15,1,2,1,6,4,3,"F","B","IC",15,0,0,2,2,1,4
"F","B","ST",25,0,2,0,3,5,4,"M","B","PO",15,1,0,2,1,4,5
"M","C","IC",15,0,0,0,1,2,4,"M","C","PO",18,1,2,0,0,7,4
"F","D","CB",25,3,1,1,0,24,4,"M","C","PO",17,1,0,1,2,1,3
"F","B","CB",20,2,0,2,5,3,4,"M","A","IC",42,0,1,2,0,6,3
"F","B","CJ",17,1,1,0,1,1,3,"F","B","PO",21,0,1,2,3,6,4
"F","A","IC",28,1,1,0,1,3,3,"F","A","PO",18,2,1,0,2,1,4
"M","A","ST",31,1,0,0,1,2,3,"F","B","EY",19,1,4,1,3,5,3
"F","D","IC",29,0,2,1,4,7,3,"M","B","EY",29,2,1,0,4,8,3
"M","A","CB",20,1,0,2,4,12,3,"F","B","EY",25,2,1,2,6,17,4
"M","B","AZ",25,1,1,1,5,10,3,"F","D","AZ",19,1,0,4,2,2,4
"F","A","AZ",24,1,2,0,2,7,4,"F","C","AZ",18,0,1,1,5,7,3
"M","B","EY",30,0,0,3,3,9,4,"F","D","PO",31,2,3,4,7,6,5
"M","B","CJ",31,1,1,4,3,15,4,"M","B","CB",25,3,3,0,2,8,3
"F","B","PO",31,0,0,1,1,12,3,"F","B","AZ",26,2,1,1,6,7,3
"M","C","ST",16,2,0,0,1,2,3,"F","A","AZ",16,0,1,0,2,11,4
"F","C","ST",25,0,0,0,0,1,5,"M","A","AZ",23,2,2,1,1,1,3
"F","A","CB",38,0,1,1,3,12,3,"F","B","PO",15,0,1,1,5,1,4
"M","A","AZ",40,1,1,0,2,24,4,"M","C","CB",15,2,1,3,1,10,5
"M","C","CJ",21,1,2,2,1,5,5,"F","C","AZ",32,1,1,1,0,3,3
"F","B","AZ",27,0,2,1,1,3,3,"F","B","EY",25,2,0,3,2,9,5
"F","C","EY",20,1,1,1,2,6,3,"M","C","EY",20,2,1,0,5,13,3
"F","C","CJ",21,1,0,1,4,10,4,"M","B","PO",25,2,0,3,2,7,5
"M","B","EY",24,0,1,1,0,6,4,"F","B","PO",15,0,2,2,5,3,4
"M","A","IC",26,1,0,3,5,1,4,"M","A","CB",30,1,0,3,1,6,5
"F","A","PO",22,2,1,3,1,7,5,"M","A","CB",25,0,0,1,6,9,4
"F","A","PO",40,0,1,0,1,6,4,"F","B","AZ",24,0,1,2,5,4,3
"F","A","AZ",29,0,0,0,2,4,4,"M","B","EY",24,1,0,3,4,5,5
"F","C","EY",27,0,2,2,2,1,1,"F","B","PO",21,1,0,0,1,6,3
"F","C","AZ",22,3,1,2,1,6,5,"F","A","AZ",31,0,0,0,0,2,3
"M","B","AZ",29,1,0,0,1,15,4,"M","C","CJ",27,2,0,2,2,5,5
"F","B","EY",18,1,0,1,5,2,4,"F","A","ST",29,0,0,2,1,6,5
"F","B","AZ",18,3,0,1,1,5,5,"M","B","ST",18,2,0,0,1,10,4
"F","B","AZ",27,7,3,1,1,11,5,"F","A","AZ",33,0,1,0,4,7,3
"M","B","CB",39,2,1,5,2,9,5,"F","C","CB",16,1,1,2,5,5,4
"M","A","ST",44,3,0,0,3,22,4,"F","A","EY",38,1,1,1,0,2,3
"F","A","EY",44,0,1,1,3,26,3,"M","B","PO",27,1,2,4,2,11,5
"M","A","PO",16,2,1,0,2,2,4,"F","C","CJ",25,0,0,2,1,1,5
"M","D","CB",16,2,1,3,2,4,5,"F","B","EY",21,1,0,0,3,12,3
"M","B","EY",20,2,2,5,2,6,5,"F","C","CB",28,3,0,0,6,8,3
"M","B","IC",24,3,2,2,1,5,5,"F","D","PO",34,1,1,2,0,14,5
"M","A","EY",24,1,1,1,5,5,4,"F","C","PO",31,2,0,3,1,12,5
"F","B","IC",30,2,2,1,4,6,3,"F","B","CB",16,0,0,1,2,7,3
"F","B","PO",17,0,0,2,2,3,3,"F","A","CJ",26,3,0,1,2,1,4
"F","B","AZ",25,1,0,4,6,3,4,"M","B","PO",16,3,0,4,3,10,5
"F","A","IC",16,1,2,3,5,2,4,"M","A","CJ",22,2,2,4,4,10,5
"F","D","AZ",30,4,1,2,2,12,5,"F","A","CB",19,2,0,2,0,4,5
"M","C","IC",28,2,0,0,1,14,4,"F","B","IC",39,2,1,2,3,13,5
"M","B","EY",15,1,3,0,1,2,3,"M","B","AZ",28,4,3,0,0,4,5
"F","B","AZ",15,1,0,0,2,5,3,"F","C","PO",21,3,1,0,1,8,4
"F","D","EY",35,0,0,1,3,12,3,"F","D","AZ",28,0,0,1,0,2,2
"M","A","EY",15,0,1,0,2,1,4,"F","B","PO",20,2,1,2,1,5,5
"M","A","AZ",39,1,0,1,1,2,5,"F","B","EY",16,1,0,3,4,3,4
"F","A","ST",44,1,1,3,5,24,3,"M","B","PO",20,1,2,1,3,3,3
"M","C","CB",17,5,3,4,1,4,5,"F","B","AZ",47,1,0,2,0,6,3
"F","B","ST",33,1,1,0,1,17,5,"M","B","IC",21,1,0,1,3,5,4
"F","A","PO",26,5,3,0,4,10,4,"F","B","EY",34,0,1,3,6,18,4
